H NMR,,
Hz,ppm,Int
370.63,4.139,69
364.19,4.067,176
357.69,3.994,94
182.63,2.04,1000
145.25,1.622,44
143,1.597,33
139.31,1.556,50
138.75,1.55,50
137.44,1.535,44
133.44,1.49,54
132.06,1.475,36
127.56,1.425,37
125.88,1.406,37
122.13,1.364,36
119.13,1.331,38
112.69,1.259,32
91.31,1.02,52
90.44,1.01,90
89.56,1,85
83.81,0.936,214
82.31,0.92,59
77.69,0.868,30
76.31,0.853,43
