H NMR,,
Hz,ppm,Int
2886.89,7.224,502
2879.38,7.205,527
2838.9,7.104,508
2830.84,7.084,377
1487.68,3.723,25
1480.53,3.705,80
1473.39,3.687,82
1466.25,3.669,28
978.11,2.448,260
970.97,2.43,276
747.5,1.871,28
740.73,1.854,55
733.95,1.837,69
727.35,1.82,56
720.39,1.803,29
597.86,1.496,438
590.53,1.478,431
358.82,0.898,1000
352.23,0.882,979
