H NMR,,
Hz,ppm,Int
892.7,2.234,364
886.96,2.22,430
885.38,2.216,398
879.52,2.201,389
878.05,2.198,339
876.34,2.193,275
758.91,1.899,571
757.45,1.896,540
754.39,1.888,831
751.71,1.881,569
748.17,1.873,821
743.29,1.86,1000
741.21,1.855,811
736.57,1.844,531
734.13,1.837,442
731.32,1.83,407
728.76,1.824,450
723.75,1.811,403
