H NMR,,
Hz,ppm,Int
3904.42,9.77,286
3902.44,9.765,572
3900.6,9.761,335
976.56,2.444,236
974.73,2.439,256
969.24,2.426,423
967.41,2.421,463
961.91,2.407,279
959.93,2.402,289
666.05,1.667,41
658.72,1.649,140
651.25,1.63,222
643.92,1.612,184
636.75,1.594,80
543.52,1.36,67
534.67,1.338,157
520.32,1.302,697
515.44,1.29,664
508.73,1.273,953
358.89,0.899,353
357.67,0.895,343
352.17,0.882,1000
345,0.864,469
332.49,0.832,37
