Wavenumber (1/cm),Transmittance
261.967,0.766
262.9506093139989,0.765
263.9342186279978,0.765
264.9178279419967,0.766
265.9014372559956,0.765
266.885045,0.765
267.8686543139989,0.765
268.8522636279978,0.764
269.8358729419967,0.764
270.8194822559956,0.764
271.80309,0.764
272.7866993139989,0.764
273.7703086279978,0.764
274.7539179419967,0.764
275.7375272559956,0.764
276.721135,0.764
277.7047443139989,0.764
278.6883536279978,0.764
279.6719629419967,0.765
280.6555722559956,0.765
281.63918,0.765
282.6227893139989,0.766
283.6063986279978,0.766
284.5900079419967,0.766
285.5736172559956,0.766
286.557226,0.766
287.5408353139989,0.766
288.5244446279978,0.765
289.5080539419967,0.765
290.4916632559956,0.764
291.475271,0.764
292.4588803139989,0.762
293.4424896279978,0.762
294.4260989419967,0.761
295.4097082559956,0.761
296.393316,0.761
297.3769253139989,0.761
298.3605346279978,0.761
299.3441439419967,0.761
300.3277532559956,0.762
301.311361,0.764
302.2949703139989,0.765
303.2785796279978,0.765
304.26218894199667,0.766
305.24579825599557,0.768
306.229406,0.77
307.2130153139989,0.774
308.1966246279978,0.777
309.1802339419967,0.778
310.1638432559956,0.785
311.147451,0.79
312.1310603139989,0.792
313.1146696279978,0.793
314.0982789419967,0.794
315.0818882559956,0.798
316.065496,0.809
317.0491053139989,0.812
318.0327146279978,0.814
319.0163239419967,0.818
319.9999332559956,0.82
320.983541,0.822
321.9671503139989,0.824
322.9507596279978,0.824
323.9343689419967,0.825
324.9179782559956,0.825
325.901587,0.825
326.8851963139989,0.824
327.8688056279978,0.82
328.8524149419967,0.817
329.8360242559956,0.813
330.819632,0.806
331.8032413139989,0.804
332.7868506279978,0.802
333.7704599419967,0.8
334.7540692559956,0.796
335.737677,0.796
336.7212863139989,0.793
337.7048956279978,0.79
338.6885049419967,0.786
339.6721142559956,0.784
340.655722,0.781
341.6393313139989,0.781
342.6229406279978,0.78
343.6065499419967,0.778
344.5901592559956,0.778
345.573767,0.778
346.5573763139989,0.78
347.54098562799777,0.781
348.52459494199667,0.782
349.50820425599557,0.784
350.491812,0.784
351.4754213139989,0.785
352.4590306279978,0.786
353.4426399419967,0.786
354.4262492559956,0.786
355.409857,0.788
356.3934663139989,0.788
357.3770756279978,0.788
358.3606849419967,0.788
359.3442942559956,0.786
360.327902,0.786
361.3115113139989,0.785
362.2951206279978,0.785
363.2787299419967,0.784
364.2623392559956,0.782
365.245947,0.782
366.2295563139989,0.78
367.2131656279978,0.774
368.1967749419967,0.766
369.1803842559956,0.762
370.163993,0.752
371.1476023139989,0.737
372.1312116279978,0.733
373.1148209419967,0.726
374.0984302559956,0.72
375.082038,0.713
376.0656473139989,0.713
377.0492566279978,0.714
378.0328659419967,0.721
379.0164752559956,0.73
380.000083,0.732
380.9836923139989,0.744
381.9673016279978,0.758
382.9509109419967,0.77
383.9345202559956,0.782
384.918128,0.797
385.9017373139989,0.812
386.8853466279978,0.8259
387.8689559419967,0.836
388.8525652559956,0.838
389.836173,0.849
390.81978231399887,0.861
391.80339162799777,0.864
392.78700094199667,0.872
393.77061025599556,0.876
394.754218,0.877
395.7378273139989,0.88
396.7214366279978,0.882
397.7050459419967,0.884
398.68865525599557,0.884
399.672263,0.884
400.6558723139989,0.884
401.6394816279978,0.884
402.6230909419967,0.884
403.6067002559956,0.884
404.590308,0.884
405.5739173139989,0.882
406.5575266279978,0.882
407.5411359419967,0.882
408.5247452559956,0.882
409.508354,0.882
410.4919633139989,0.881
411.4755726279978,0.881
412.4591819419967,0.881
413.4427912559956,0.881
414.426399,0.881
415.4100083139989,0.88
416.3936176279978,0.88
417.3772269419967,0.88
418.3608362559956,0.88
419.344444,0.878
420.3280533139989,0.878
421.3116626279978,0.877
422.2952719419967,0.876
423.2788812559956,0.876
424.262489,0.873
425.2460983139989,0.872
426.2297076279978,0.869
427.2133169419967,0.869
428.1969262559956,0.868
429.180534,0.865
430.1641433139989,0.861
431.1477526279978,0.858
432.1313619419967,0.852
433.1149712559956,0.849
434.098579,0.846
435.08218831399887,0.838
436.06579762799777,0.836
437.04940694199666,0.833
438.03301625599556,0.832
439.016624,0.83
440.0002333139989,0.821
440.9838426279978,0.818
441.96745194199667,0.817
442.95106125599557,0.814
443.934669,0.812
444.9182783139989,0.809
445.9018876279978,0.806
446.8854969419967,0.804
447.8691062559956,0.801
448.852714,0.8
449.8363233139989,0.798
450.8199326279978,0.8
451.8035419419967,0.802
452.7871512559956,0.805
453.77076,0.809
454.7543693139989,0.813
455.7379786279978,0.816
456.7215879419967,0.818
457.7051972559956,0.821
458.688805,0.825
459.6724143139989,0.833
460.6560236279978,0.846
461.6396329419967,0.85
462.6232422559956,0.856
463.60685,0.864
464.5904593139989,0.872
465.5740686279978,0.874
466.5576779419967,0.877
467.5412872559956,0.88
468.524895,0.882
469.5085043139989,0.884
470.4921136279978,0.885
471.4757229419967,0.886
472.4593322559956,0.888
473.44294,0.889
474.4265493139989,0.89
475.4101586279978,0.89
476.3937679419967,0.892
477.3773772559956,0.892
478.360985,0.893
479.3445943139989,0.894
480.3282036279978,0.896
481.3118129419967,0.897
482.2954222559956,0.897
483.27903,0.898
484.2626393139989,0.9
485.2462486279978,0.9
486.22985794199667,0.9
487.21346725599557,0.901
488.197075,0.901
489.1806843139989,0.901
490.1642936279978,0.901
491.1479029419967,0.901
492.1315122559956,0.901
493.115121,0.901
494.0987303139989,0.901
495.0823396279978,0.9
496.0659489419967,0.9
497.0495582559956,0.9
498.033166,0.898
499.0167753139989,0.898
500.0003846279978,0.898
500.9839939419967,0.898
501.9676032559956,0.897
502.951211,0.897
503.9348203139989,0.896
504.9184296279978,0.896
505.9020389419967,0.894
506.8856482559956,0.894
507.869256,0.894
508.8528653139989,0.893
509.8364746279978,0.893
510.8200839419967,0.893
511.8036932559956,0.893
512.787301,0.892
513.7709103139988,0.892
514.7545196279976,0.892
515.7381289419965,0.892
516.7217382559953,0.892
517.705346,0.892
518.6889553139988,0.892
519.6725646279976,0.892
520.6561739419965,0.89
521.6397832559953,0.89
522.623391,0.89
523.6070003139988,0.89
524.5906096279977,0.889
525.5742189419965,0.889
526.5578282559953,0.889
527.541436,0.889
528.5250453139988,0.888
529.5086546279977,0.888
530.4922639419965,0.885
531.4758732559953,0.882
532.459481,0.88
533.4430903139988,0.88
534.4266996279977,0.877
535.4103089419965,0.876
536.3939182559953,0.873
537.377527,0.87
538.3611363139988,0.869
539.3447456279977,0.866
540.3283549419965,0.864
541.3119642559953,0.857
542.295572,0.856
543.2791813139988,0.85
544.2627906279977,0.845
545.2463999419965,0.844
546.2300092559954,0.84
547.213617,0.833
548.1972263139988,0.833
549.1808356279977,0.829
550.1644449419965,0.821
551.1480542559954,0.808
552.131662,0.801
553.1152713139988,0.796
554.0988806279977,0.794
555.0824899419965,0.789
556.0660992559954,0.782
557.049707,0.776
558.0333163139989,0.769
559.0169256279977,0.764
560.0005349419965,0.756
560.9841442559954,0.749
561.967752,0.733
562.9513613139989,0.725
563.9349706279977,0.722
564.9185799419965,0.714
565.9021892559954,0.6941
566.885797,0.692
567.8694063139989,0.672
568.8530156279977,0.665
569.8366249419965,0.66
570.8202342559954,0.654
571.803842,0.649
572.7874513139989,0.645
573.7710606279977,0.644
574.7546699419966,0.642
575.7382792559954,0.642
576.721888,0.644
577.7054973139989,0.644
578.6891066279977,0.645
579.6727159419966,0.646
580.6563252559954,0.648
581.639933,0.649
582.6235423139989,0.649
583.6071516279977,0.65
584.5907609419966,0.65
585.5743702559954,0.649
586.557978,0.649
587.5415873139989,0.648
588.5251966279977,0.646
589.5088059419966,0.644
590.4924152559954,0.641
591.476023,0.638
592.4596323139989,0.636
593.4432416279977,0.633
594.4268509419966,0.632
595.4104602559954,0.63
596.394068,0.629
597.3776773139988,0.629
598.3612866279976,0.63
599.3448959419965,0.636
600.3285052559953,0.641
601.312113,0.657
602.2957223139988,0.673
603.2793316279976,0.68
604.2629409419965,0.688
605.2465502559953,0.693
606.230158,0.7
607.2137673139988,0.705
608.1973766279976,0.713
609.1809859419965,0.721
610.1645952559953,0.732
611.148203,0.748
612.1318123139988,0.75
613.1154216279976,0.753
614.0990309419965,0.76
615.0826402559953,0.764
616.066248,0.766
617.0498573139988,0.772
618.0334666279977,0.776
619.0170759419965,0.781
620.0006852559953,0.785
620.984294,0.788
621.9679033139988,0.792
622.9515126279977,0.796
623.9351219419965,0.8
624.9187312559953,0.804
625.902339,0.81
626.8859483139988,0.813
627.8695576279977,0.816
628.8531669419965,0.816
629.8367762559953,0.817
630.820384,0.818
631.8039933139988,0.82
632.7876026279977,0.821
633.7712119419965,0.822
634.7548212559954,0.822
635.738429,0.824
636.7220383139988,0.824
637.7056476279977,0.825
638.6892569419965,0.826
639.6728662559954,0.826
640.656474,0.826
641.6400833139988,0.828
642.6236926279977,0.828
643.6073019419965,0.828
644.5909112559954,0.828
645.574519,0.828
646.5581283139988,0.828
647.5417376279977,0.828
648.5253469419965,0.826
649.5089562559954,0.826
650.492564,0.824
651.4761733139989,0.822
652.4597826279977,0.821
653.4433919419965,0.82
654.4270012559954,0.818
655.410609,0.816
656.3942183139989,0.813
657.3778276279977,0.81
658.3614369419965,0.809
659.3450462559954,0.808
660.328655,0.805
661.3122643139989,0.801
662.2958736279977,0.798
663.2794829419965,0.796
664.2630922559954,0.793
665.2467,0.79
666.2303093139989,0.788
667.2139186279977,0.778
668.1975279419966,0.762
669.1811372559954,0.75
670.164745,0.737
671.1483543139989,0.721
672.1319636279977,0.6851
673.1155729419966,0.6641
674.0991822559954,0.662
675.08279,0.664
676.0663993139989,0.672
677.0500086279977,0.68
678.0336179419966,0.688
679.0172272559954,0.696
680.000835,0.704
680.9844443139989,0.705
681.9680536279977,0.706
682.9516629419966,0.708
683.9352722559954,0.709
684.91888,0.71
685.9024893139988,0.722
686.8860986279976,0.744
687.8697079419965,0.762
688.8533172559953,0.781
689.836925,0.798
690.8205343139988,0.8219
691.8041436279976,0.832
692.7877529419965,0.838
693.7713622559953,0.846
694.75497,0.849
695.7385793139988,0.849
696.7221886279976,0.85
697.7057979419965,0.853
698.6894072559953,0.854
699.673015,0.857
700.6566243139988,0.86
701.6402336279976,0.861
702.6238429419965,0.864
703.6074522559953,0.865
704.591061,0.866
705.5746703139988,0.866
706.5582796279976,0.866
707.5418889419965,0.868
708.5254982559953,0.868
709.509106,0.868
710.4927153139988,0.868
711.4763246279977,0.868
712.4599339419965,0.866
713.4435432559953,0.866
714.427151,0.866
715.4107603139988,0.866
716.3943696279977,0.866
717.3779789419965,0.866
718.3615882559953,0.866
719.345196,0.866
720.3288053139988,0.866
721.3124146279977,0.866
722.2960239419965,0.866
723.2796332559953,0.865
724.263241,0.865
725.2468503139988,0.865
726.2304596279977,0.865
727.2140689419965,0.865
728.1976782559954,0.865
729.181286,0.865
730.1648953139988,0.865
731.1485046279977,0.865
732.1321139419965,0.865
733.1157232559954,0.864
734.099331,0.864
735.0829403139988,0.862
736.0665496279977,0.861
737.0501589419965,0.858
738.0337682559954,0.858
739.017376,0.857
740.0009853139989,0.857
740.9845946279977,0.856
741.9682039419965,0.854
742.9518132559954,0.853
743.935422,0.852
744.9190313139989,0.85
745.9026406279977,0.849
746.8862499419965,0.845
747.8698592559954,0.844
748.853467,0.837
749.8370763139989,0.834
750.8206856279977,0.828
751.8042949419965,0.821
752.7879042559954,0.817
753.771512,0.814
754.7551213139989,0.814
755.7387306279977,0.814
756.7223399419966,0.812
757.7059492559954,0.81
758.689557,0.802
759.6731663139989,0.794
760.6567756279977,0.793
761.6403849419966,0.784
762.6239942559954,0.776
763.607602,0.77
764.5912113139989,0.766
765.5748206279977,0.762
766.5584299419966,0.761
767.5420392559954,0.76
768.525647,0.76
769.5092563139989,0.758
770.4928656279977,0.758
771.4764749419966,0.757
772.4600842559954,0.757
773.443692,0.756
774.4273013139989,0.754
775.4109106279977,0.754
776.3945199419966,0.753
777.3781292559954,0.75
778.361737,0.741
779.3453463139988,0.737
780.3289556279976,0.734
781.3125649419965,0.73
782.2961742559953,0.721
783.279782,0.714
784.2633913139988,0.709
785.2470006279976,0.704
786.2306099419965,0.702
787.2142192559953,0.702
788.197828,0.702
789.1814373139988,0.704
790.1650466279976,0.708
791.1486559419965,0.712
792.1322652559953,0.716
793.115873,0.72
794.0994823139988,0.724
795.0830916279976,0.732
796.0667009419965,0.738
797.0503102559953,0.744
798.033918,0.749
799.0175273139988,0.753
800.0011366279977,0.757
800.9847459419965,0.758
801.9683552559953,0.758
802.951963,0.757
803.9355723139988,0.757
804.9191816279977,0.756
805.9027909419965,0.754
806.8864002559953,0.754
807.870008,0.756
808.8536173139988,0.757
809.8372266279977,0.76
810.8208359419965,0.761
811.8044452559953,0.768
812.788053,0.772
813.7716623139988,0.774
814.7552716279977,0.777
815.7388809419965,0.778
816.7224902559954,0.782
817.706098,0.789
818.6897073139988,0.79
819.6733166279977,0.792
820.6569259419965,0.793
821.6405352559954,0.794
822.624143,0.796
823.6077523139988,0.796
824.5913616279977,0.794
825.5749709419965,0.794
826.5585802559954,0.793
827.542189,0.792
828.5257983139988,0.79
829.5094076279977,0.789
830.4930169419965,0.788
831.4766262559954,0.782
832.460234,0.777
833.4438433139989,0.772
834.4274526279977,0.765
835.4110619419965,0.757
836.3946712559954,0.749
837.378279,0.738
838.3618883139989,0.6971
839.3454976279977,0.6781
840.3291069419965,0.67
841.3127162559954,0.662
842.296324,0.649
843.2799333139989,0.648
844.2635426279977,0.649
845.2471519419965,0.65
846.2307612559954,0.66
847.214369,0.666
848.1979783139989,0.673
849.1815876279977,0.688
850.1651969419966,0.701
851.1488062559954,0.702
852.132414,0.705
853.1160233139989,0.705
854.0996326279977,0.705
855.0832419419966,0.698
856.0668512559954,0.696
857.050459,0.692
858.0340683139989,0.689
859.0176776279977,0.685
860.0012869419966,0.678
860.9848962559954,0.672
861.968504,0.665
862.9521133139989,0.66
863.9357226279977,0.654
864.9193319419966,0.653
865.9029412559954,0.653
866.886549,0.654
867.8701583139988,0.657
868.8537676279976,0.665
869.8373769419965,0.674
870.8209862559953,0.6919
871.804595,0.697
872.7882043139988,0.702
873.7718136279976,0.726
874.7554229419965,0.746
875.7390322559953,0.769
876.72264,0.778
877.7062493139988,0.797
878.6898586279976,0.808
879.6734679419965,0.817
880.6570772559953,0.83
881.640685,0.837
882.6242943139988,0.849
883.6079036279976,0.85
884.5915129419965,0.858
885.5751222559953,0.858
886.55873,0.86
887.5423393139988,0.861
888.5259486279976,0.861
889.5095579419965,0.861
890.4931672559953,0.861
891.476775,0.861
892.4603843139988,0.861
893.4439936279977,0.86
894.4276029419965,0.86
895.4112122559953,0.858
896.39482,0.857
897.3784293139988,0.857
898.3620386279977,0.853
899.3456479419965,0.85
900.3292572559953,0.846
901.312865,0.844
902.2964743139988,0.84
903.2800836279977,0.837
904.2636929419965,0.834
905.2473022559954,0.832
906.23091,0.83
