Wavenumber (1/cm),Transmittance
460.0,0.8534
461.0,0.8534
462.0,0.8534
463.0,0.8533
464.0,0.8532
465.0,0.8531
466.0,0.853
467.0,0.8529
468.0,0.8528
469.0,0.8527
470.0,0.8527
471.0,0.8527
472.0,0.8526
473.0,0.8526
474.0,0.8525
475.0,0.8523
476.0,0.8521
477.0,0.8519
478.0,0.8517
479.0,0.8515
480.0,0.8515
481.0,0.8514
482.0,0.8513
483.0,0.8512
484.0,0.8512
485.0,0.8511
486.0,0.851
487.0,0.851
488.0,0.8508
489.0,0.8506
490.0,0.8504
491.0,0.8501
492.0,0.8499
493.0,0.8497
494.0,0.8495
495.0,0.8493
496.0,0.8491
497.0,0.8489
498.0,0.8486
499.0,0.8482
500.0,0.8479
501.0,0.8476
502.0,0.8473
503.0,0.8469
504.0,0.8466
505.0,0.8463
506.0,0.8459
507.0,0.8456
508.0,0.8453
509.0,0.845
510.0,0.8446
511.0,0.8444
512.0,0.8441
513.0,0.8439
514.0,0.8436
515.0,0.8434
516.0,0.8431
517.0,0.8428
518.0,0.8426
519.0,0.8423
520.0,0.8421
521.0,0.8418
522.0,0.8416
523.0,0.8413
524.0,0.8411
525.0,0.8408
526.0,0.8406
527.0,0.8405
528.0,0.8404
529.0,0.8403
530.0,0.8402
531.0,0.84
532.0,0.8399
533.0,0.8398
534.0,0.8397
535.0,0.8395
536.0,0.8394
537.0,0.8393
538.0,0.8392
539.0,0.8392
540.0,0.8393
541.0,0.8395
542.0,0.8396
543.0,0.8398
544.0,0.8399
545.0,0.8401
546.0,0.8402
547.0,0.8403
548.0,0.8405
549.0,0.841
550.0,0.8416
551.0,0.8423
552.0,0.8429
553.0,0.8436
554.0,0.8443
555.0,0.8454
556.0,0.8465
557.0,0.8476
558.0,0.8488
559.0,0.8498
560.0,0.8504
561.0,0.8511
562.0,0.8518
563.0,0.8524
564.0,0.8529
565.0,0.8533
566.0,0.8537
567.0,0.8541
568.0,0.8545
569.0,0.8549
570.0,0.8553
571.0,0.8556
572.0,0.856
573.0,0.8563
574.0,0.8566
575.0,0.857
576.0,0.8573
577.0,0.8576
578.0,0.858
579.0,0.8583
580.0,0.8582
581.0,0.8591
582.0,0.8594
583.0,0.8598
584.0,0.8601
585.0,0.8605
586.0,0.8609
587.0,0.8612
588.0,0.8616
589.0,0.862
590.0,0.8624
591.0,0.8628
592.0,0.8631
593.0,0.8635
594.0,0.8639
595.0,0.8643
