H NMR,,
Hz,ppm,Int
724.13,8.086,80
722.56,8.068,80
721.06,8.052,32
720.06,8.04,30
717,8.006,63
716.56,8.001,62
714.38,7.977,99
674.63,7.533,39
671.81,7.502,30
670.88,7.491,62
669,7.47,161
667.88,7.458,59
666.75,7.445,75
664.94,7.425,35
662.94,7.403,40
662,7.392,52
661.38,7.385,67
660.88,7.38,64
347.94,3.885,1000
