C NMR,,
ppm,Int,Assign
181.05,259,1
157.66,579,2
134.83,587,3
133.79,579,4
129.29,839,5
128.86,587,6
127.22,822,7
126.18,985,8
126.14,1000,9
119.02,889,10
105.55,917,11
55.26,943,12
45.29,478,13
18.1,547,14
