H NMR,,
Hz,ppm,Int
1272.5,4.242,163
1265.41,4.218,494
1258.29,4.194,500
1251.2,4.171,171
1008.29,3.361,669
392.57,1.309,507
385.51,1.285,1000
378.39,1.261,488
