H NMR,,
Hz,ppm,Int
851.75,9.511,737
644.63,7.198,205
644.13,7.193,179
641.13,7.159,221
640.56,7.153,195
561.44,6.269,157
560.5,6.259,155
559.63,6.249,65
557.94,6.23,148
557,6.22,143
556.19,6.211,57
217.38,2.428,857
216.81,2.421,1000
216,2.412,718
