H NMR,,
Hz,ppm,Int
3069.69,7.681,131
3061.99,7.662,225
3060.71,7.659,226
2959.79,7.406,78
2957.96,7.402,73
2951.36,7.385,66
2949.53,7.381,66
2850.8,7.134,89
2848.24,7.127,115
2842.01,7.112,68
2839.45,7.105,107
2830.29,7.082,132
2827.91,7.076,98
1547.57,3.873,1000
1541.35,3.857,71
1534.2,3.839,65
1527.06,3.821,22
629.91,1.577,363
622.77,1.559,357
