H NMR,,
Hz,ppm,Int
137.13,1.532,22
124.19,1.387,25
123.63,1.381,24
121.31,1.355,35
119.75,1.338,45
118.5,1.324,46
116.38,1.3,63
114.94,1.284,83
110.44,1.234,267
109.31,1.221,220
107.38,1.199,128
105.63,1.18,106
103.75,1.159,62
100.75,1.125,43
85,0.95,93
83.31,0.931,59
80.63,0.901,1000
74.5,0.832,669
69.44,0.776,30
