H NMR,,
Hz,ppm,Int
113.94,1.273,93
107.38,1.199,98
106.31,1.188,110
101.75,1.137,79
100.75,1.125,101
99.81,1.115,82
84.56,0.945,138
83.25,0.93,188
82.5,0.922,163
80.5,0.899,1000
77.44,0.865,456
76.44,0.854,153
74.56,0.833,700
71.31,0.797,74
69.69,0.779,77
