H NMR,,
Hz,ppm,Int
651.81,7.278,1000
429.06,4.791,39
424.38,4.739,34
421.81,4.71,47
417.19,4.659,49
330,3.685,385
325.94,3.64,167
321.94,3.595,74
318.44,3.556,90
